geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PT,Portugal,2021,GE10,D,13.73,22.021071428571425,78.94,,17.28,30.630666666666666,,19.543333333333333,5
PT,Portugal,2021,GE10,D35,13.73,22.021071428571425,78.94,,17.28,30.630666666666666,,19.543333333333333,5
PT,Portugal,2021,GE10,D_E,2.88,11.861785714285714,47.96333333333333,,33.35333333333333,24.672000000000004,,30.148333333333333,5
PT,Portugal,2021,GE10,E,0.66,8.91,43.92933333333333,,13.67,23.275333333333332,,27.436666666666667,3
PT,Portugal,2021,GE10,F,0.44,19.735000000000003,21.455,,7.46,18.706,,14.746666666666666,3
PT,Portugal,2021,GE10,G,2.435,10.725714285714286,34.92033333333333,,28.813333333333333,34.385333333333335,,26.296666666666667,3
PT,Portugal,2021,GE10,G45,4.609999999999999,10.9725,25.85666666666667,,3.79,10.05,,24.23,3
PT,Portugal,2021,GE10,G45-S951_X_K,3.21,13.223214285714288,39.87433333333333,,28.76,35.32966666666667,,28.05,5
PT,Portugal,2021,GE10,G46,1.25,12.471428571428572,37.281000000000006,,30.290000000000003,32.22566666666667,,25.038333333333334,5
PT,Portugal,2021,GE10,G47,3.0250000000000004,9.827142857142857,28.870000000000005,,3.76,9.68,,27.141666666666666,3
PT,Portugal,2021,GE10,H,4.54,14.20107142857143,18.14,,10.675,28.762999999999998,,12.526666666666669,3
PT,Portugal,2021,GE10,I,2.63,16.02285714285714,35.855000000000004,,24.3,48.76366666666667,,21.575,3
PT,Portugal,2021,GE10,I55,1.2349999999999999,20.831071428571427,,,,,,8.016666666666666,0
PT,Portugal,2021,GE10,ICT,11.05,15.521071428571428,,,14.15,28.28,,26.80333333333333,5
PT,Portugal,2021,GE10,J,10.43,14.0885,,,11.97,4.55,,24.39333333333333,3
PT,Portugal,2021,GE10,J58-J60,8.71,,15.736666666666666,,8.81,21.356666666666666,,14.203333333333333,3
